STAR,LEVEL,ATTACK,RECOVERY,HEALTH,POWER
1,1,46,13,239,162
1,2,50,14,262,176
1,3,55,15,286,193
1,4,59,16,310,208
1,5,64,17,333,224
1,6,68,18,357,239
1,7,73,19,381,256
1,8,77,20,405,270
1,9,82,21,428,287
1,10,87,22,452,304
1,11,91,23,476,318
1,12,96,24,500,335
1,13,100,25,523,350
1,14,105,26,547,366
1,15,109,27,571,381
1,16,114,28,594,398
1,17,119,29,618,414
1,18,123,30,642,429
1,19,128,31,666,446
1,20,132,32,689,460
2,20,165,40,861,575
2,21,171,41,891,596
2,22,176,42,921,614
2,23,182,43,951,634
2,24,187,45,980,653
2,25,193,46,"1,010",673
2,26,200,47,"1,040",695
2,27,205,48,"1,068",713
2,28,211,50,"1,098",734
2,29,216,52,"1,128",753
2,30,222,53,"1,158",773
2,31,227,55,"1,187",792
2,32,233,56,"1,217",812
2,33,240,57,"1,247",834
2,34,245,58,"1,277",853
2,35,251,60,"1,306",874
2,36,256,61,"1,336",892
2,37,262,62,"1,366",912
2,38,267,63,"1,395",930
2,39,273,65,"1,425",951
2,40,280,66,"1,455",973
3,40,350,82,"1,818","1,216"
3,41,356,84,"1,856","1,239"
3,42,364,85,"1,892","1,265"
3,43,370,87,"1,929","1,288"
3,44,378,89,"1,967","1,314"
3,45,384,90,"2,004","1,336"
3,46,392,92,"2,040","1,363"
3,47,398,93,"2,078","1,385"
3,48,406,95,"2,115","1,412"
3,49,414,96,"2,151","1,438"
3,50,420,98,"2,189","1,461"
3,51,428,100,"2,226","1,488"
3,52,434,101,"2,264","1,510"
3,53,442,103,"2,300","1,536"
3,54,448,104,"2,337","1,558"
3,55,456,106,"2,375","1,585"
3,56,464,107,"2,412","1,611"
3,57,470,110,"2,448","1,634"
3,58,478,112,"2,485","1,661"
3,59,484,114,"2,523","1,684"
3,60,492,115,"2,559","1,710"
