STAR,LEVEL,ATTACK,RECOVERY,HEALTH,POWER
1,1,45,12,240,159
1,2,49,12,263,173
1,3,53,13,287,188
1,4,58,14,311,204
1,5,62,15,335,219
1,6,67,16,359,236
1,7,71,17,382,250
1,8,76,18,406,267
1,9,80,19,430,282
1,10,85,20,454,298
1,11,89,21,478,313
1,12,94,22,502,330
1,13,98,23,525,344
1,14,103,24,549,361
1,15,107,25,573,376
1,16,112,26,597,393
1,17,116,27,621,408
1,18,121,28,645,424
1,19,125,29,668,439
1,20,129,30,692,454
2,20,161,37,865,566
2,21,167,38,895,586
2,22,172,38,925,604
2,23,178,40,955,625
2,24,183,41,985,643
2,25,190,42,"1,013",665
2,26,195,43,"1,043",683
2,27,201,45,"1,073",704
2,28,206,46,"1,103",722
2,29,212,47,"1,133",742
2,30,217,48,"1,163",761
2,31,223,50,"1,192",782
2,32,228,51,"1,222",800
2,33,235,52,"1,252",822
2,34,240,53,"1,282",840
2,35,246,55,"1,312",861
2,36,251,56,"1,342",880
2,37,256,57,"1,371",898
2,38,262,58,"1,401",918
2,39,267,60,"1,431",937
2,40,273,61,"1,461",957
3,40,342,76,"1,826","1,198"
3,41,348,78,"1,864","1,220"
3,42,356,78,"1,900","1,246"
3,43,362,79,"1,937","1,268"
3,44,370,81,"1,975","1,294"
3,45,376,82,"2,012","1,316"
3,46,384,84,"2,050","1,344"
3,47,390,85,"2,087","1,366"
3,48,398,87,"2,123","1,392"
3,49,404,89,"2,160","1,415"
3,50,412,90,"2,198","1,441"
3,51,418,92,"2,235","1,464"
3,52,,,,
3,53,,,,
3,54,,,,
3,55,,,,
3,56,,,,
3,57,,,,
3,58,,,,
3,59,,,,
3,60,,,,
