STAR,LEVEL,ATTACK,RECOVERY,HEALTH,POWER
1,1,51,13,237,171
1,2,56,14,260,188
1,3,61,15,284,204
1,4,66,16,307,221
1,5,71,17,331,238
1,6,76,18,354,254
1,7,81,19,378,271
1,8,86,20,401,287
1,9,91,21,425,304
1,10,96,22,448,320
1,11,101,23,472,337
1,12,106,24,495,354
1,13,111,25,519,370
1,14,116,26,542,387
1,15,121,27,566,404
1,16,126,28,589,420
1,17,132,29,613,439
1,18,137,30,636,456
1,19,142,31,660,472
1,20,147,32,684,489
2,20,183,40,855,610
2,21,190,41,883,632
2,22,196,42,913,652
2,23,202,43,942,672
2,24,208,45,972,693
2,25,215,46,"1,001",715
2,26,221,47,"1,031",735
2,27,227,48,"1,060",755
2,28,233,50,"1,090",776
2,29,240,52,"1,118",798
2,30,246,53,"1,148",819
2,31,252,55,"1,177",840
2,32,258,56,"1,207",860
2,33,266,57,"1,236",884
2,34,272,58,"1,266",904
2,35,278,60,"1,295",925
2,36,285,61,"1,325",947
2,37,291,62,"1,355",967
2,38,297,63,"1,383",987
2,39,303,65,"1,413","1,008"
2,40,310,66,"1,442","1,030"
3,40,387,82,"1,803","1,286"
3,41,395,84,"1,840","1,313"
3,42,403,85,"1,876","1,339"
3,43,410,87,"1,914","1,364"
3,44,418,89,"1,950","1,390"
3,45,426,90,"1,987","1,416"
3,46,434,92,"2,023","1,443"
3,47,442,93,"2,060","1,469"
3,48,451,95,"2,096","1,497"
3,49,459,96,"2,134","1,524"
3,50,467,98,"2,170","1,550"
3,51,475,100,"2,207","1,577"
3,52,482,101,"2,243","1,600"
3,53,490,103,"2,281","1,628"
3,54,498,104,"2,318","1,654"
3,55,506,106,"2,354","1,680"
3,56,514,107,"2,392","1,706"
3,57,521,110,"2,428","1,732"
3,58,529,112,"2,465","1,758"
3,59,537,114,"2,501","1,785"
3,60,545,115,"2,539","1,811"
