STAR,LEVEL,ATTACK,RECOVERY,HEALTH,POWER
1,1,44,14,238,158
1,2,48,15,261,172
1,3,52,16,285,187
1,4,57,17,308,204
1,5,61,18,332,218
1,6,65,19,356,233
1,7,70,20,379,250
1,8,74,21,403,264
1,9,78,22,427,279
1,10,83,24,450,296
1,11,87,25,474,311
1,12,92,26,497,328
1,13,96,27,521,342
1,14,,,,
1,15,,,,
1,16,,,,
1,17,,,,
1,18,,,,
1,19,,,,
1,20,,,,
2,20,,,,
2,21,,,,
2,22,,,,
2,23,,,,
2,24,,,,
2,25,,,,
2,26,,,,
2,27,,,,
2,28,,,,
2,29,,,,
2,30,,,,
2,31,,,,
2,32,,,,
2,33,,,,
2,34,,,,
2,35,,,,
2,36,,,,
2,37,,,,
2,38,,,,
2,39,,,,
2,40,,,,
3,40,,,,
3,41,,,,
3,42,,,,
3,43,,,,
3,44,,,,
3,45,,,,
3,46,,,,
3,47,,,,
3,48,,,,
3,49,,,,
3,50,,,,
3,51,,,,
3,52,,,,
3,53,,,,
3,54,,,,
3,55,,,,
3,56,,,,
3,57,,,,
3,58,,,,
3,59,,,,
3,60,,,,
